id,hashtag,timestamp,like_count,comments_count,engagement,hour,time_of_day,day_of_week,cluster
61128522257992102_3831292871,#AppleEvent2025,2025-08-03 08:00:00,88,4,92,8,morning,Sunday,0
30175790410225072_7223667387,#AppleEvent2025,2025-09-03 20:00:00,382,9,391,20,evening,Wednesday,1
29154659909945935_6528506527,#AppleEvent2025,2025-07-21 11:00:00,133,3,136,11,morning,Monday,0
65647130184630759_3460954264,#AppleEvent2025,2025-09-05 08:00:00,147,6,153,8,morning,Friday,0
54316201162667010_5859264774,#AppleEvent2025,2025-08-14 04:00:00,825,23,848,4,night,Thursday,1
33161230609200813_6397884821,#AppleEvent2025,2025-09-08 14:00:00,989,32,1021,14,afternoon,Monday,1
93250891212585561_9516290718,#AppleEvent2025,2025-09-07 11:00:00,679,24,703,11,morning,Sunday,1
83998732226921740_6734441266,#AppleEvent2025,2025-09-26 13:00:00,681,19,700,13,afternoon,Friday,1
73279086759652650_8957255872,#AppleEvent2025,2025-09-02 16:00:00,516,14,530,16,afternoon,Tuesday,1
80895047640983539_1746492852,#AppleEvent2025,2025-08-23 13:00:00,46,4,50,13,afternoon,Saturday,0
51428561979189151_7221890827,#AppleEvent2025,2025-09-27 18:00:00,205,9,214,18,evening,Saturday,0
24546916781205865_2455740720,#AppleEvent2025,2025-10-02 09:00:00,203,5,208,9,morning,Thursday,0
36539215092704271_5744869902,#AppleEvent2025,2025-08-16 06:00:00,182,8,190,6,morning,Saturday,0
15341894830960911_9295570021,#AppleEvent2025,2025-10-03 06:00:00,221,6,227,6,morning,Friday,0
67342568607319906_2990584865,#AppleEvent2025,2025-10-03 00:00:00,101,2,103,0,night,Friday,0
47114368126177197_4456142455,#AppleEvent2025,2025-07-13 05:00:00,54,2,56,5,night,Sunday,0
62484295887225756_7330155114,#AppleEvent2025,2025-09-28 18:00:00,2172,72,2244,18,evening,Sunday,2
52388359158458563_4307485889,#AppleEvent2025,2025-08-26 03:00:00,647,14,661,3,night,Tuesday,1
64100148925501563_9815327940,#AppleEvent2025,2025-07-29 13:00:00,39,1,40,13,afternoon,Tuesday,0
85503937909062030_0114677102,#AppleEvent2025,2025-07-26 06:00:00,177,4,181,6,morning,Saturday,0
10890331675211581_7740153414,#AppleEvent2025,2025-10-05 13:00:00,66,2,68,13,afternoon,Sunday,0
62091906082588644_5076528550,#AppleEvent2025,2025-09-13 16:00:00,96,4,100,16,afternoon,Saturday,0
82310126314939240_8269100448,#AppleEvent2025,2025-09-27 00:00:00,1010,36,1046,0,night,Saturday,1
06218856877972360_9592614101,#AppleEvent2025,2025-09-16 09:00:00,319,7,326,9,morning,Tuesday,0
88983723311339129_1475985994,#AppleEvent2025,2025-09-11 22:00:00,441,18,459,22,evening,Thursday,1
06160041863071778_9365002055,#AppleEvent2025,2025-09-17 09:00:00,157,4,161,9,morning,Wednesday,0
96951586291327354_0243774958,#AppleEvent2025,2025-10-06 04:00:00,343,11,354,4,night,Monday,0
72337881632250576_8048439208,#AppleEvent2025,2025-08-18 04:00:00,87,5,92,4,night,Monday,0
30669945877049501_6624468335,#AppleEvent2025,2025-09-12 01:00:00,0,84,84,1,night,Friday,0
87241674937185842_8566015832,#AppleEvent2025,2025-08-21 07:00:00,252,6,258,7,morning,Thursday,0
08461272426894933_7653504986,#AppleEvent2025,2025-09-30 11:00:00,517,17,534,11,morning,Tuesday,1
78779976618094485_7483335167,#AppleEvent2025,2025-09-22 08:00:00,300,9,309,8,morning,Monday,0
48982509197153779_3042702218,#AppleEvent2025,2025-09-25 00:00:00,222,6,228,0,night,Thursday,0
53531784832282569_9177533707,#AppleEvent2025,2025-08-21 09:00:00,104,6,110,9,morning,Thursday,0
47377842384959534_8941019368,#AppleEvent2025,2025-10-03 04:00:00,50,2,52,4,night,Friday,0
52812897532476324_1015196709,#AppleEvent2025,2025-09-21 17:00:00,246,9,255,17,afternoon,Sunday,0
77902861004308998_6974202230,#AppleEvent2025,2025-09-06 00:00:00,53,3,56,0,night,Saturday,0
15266957769843141_2112830138,#AppleEvent2025,2025-10-06 16:00:00,361,12,373,16,afternoon,Monday,0
60871783686457765_2453281605,#AppleEvent2025,2025-09-28 08:00:00,145,10,155,8,morning,Sunday,0
31553131695585951_6247729302,#AppleEvent2025,2025-09-26 19:00:00,165,4,169,19,evening,Friday,0
85010838596993088_1445792115,#AppleEvent2025,2025-09-08 13:00:00,486,9,495,13,afternoon,Monday,1
30059468917320019_0282642301,#AppleEvent2025,2025-08-26 07:00:00,194,5,199,7,morning,Tuesday,0
91246677648906435_8877164581,#AppleEvent2025,2025-09-01 21:00:00,196,4,200,21,evening,Monday,0
39767158627625381_2366763452,#AppleEvent2025,2025-09-09 20:00:00,61,0,61,20,evening,Tuesday,0
16762660284418267_1023998223,#AppleEvent2025,2025-08-11 00:00:00,75,1,76,0,night,Monday,0
85640666743114228_7225491228,#AppleEvent2025,2025-09-07 03:00:00,142,3,145,3,night,Sunday,0
53748038010486833_0160393002,#AppleEvent2025,2025-09-21 10:00:00,437,12,449,10,morning,Sunday,1
07386366273805503_9161802195,#AppleEvent2025,2025-08-03 20:00:00,489,16,505,20,evening,Sunday,1
91020281750090385_7219573310,#AppleEvent2025,2025-10-05 17:00:00,35,1,36,17,afternoon,Sunday,0
04049924354595432_5021764817,#AppleEvent2025,2025-09-05 13:00:00,340,0,340,13,afternoon,Friday,0
34652609642367119_0074835243,#AppleEvent2025,2025-09-28 17:00:00,138,5,143,17,afternoon,Sunday,0
50726403132650311_7309463394,#AppleEvent2025,2025-09-22 16:00:00,128,8,136,16,afternoon,Monday,0
99334492320425647_1634615390,#AppleEvent2025,2025-09-30 14:00:00,173,11,184,14,afternoon,Tuesday,0
00111227544184725_7677695892,#AppleEvent2025,2025-09-04 13:00:00,468,12,480,13,afternoon,Thursday,1
71063790225991440_9755190118,#AppleEvent2025,2025-10-09 04:00:00,245,3,248,4,night,Thursday,0
76112926668784823_1866472339,#AppleEvent2025,2025-09-06 23:00:00,162,5,167,23,evening,Saturday,0
54680000200186463_3805890247,#AppleEvent2025,2025-10-08 06:00:00,62,6,68,6,morning,Wednesday,0
86117866784550991_2970068207,#AppleEvent2025,2025-08-04 08:00:00,228,9,237,8,morning,Monday,0
85155516723080549_7906144446,#AppleEvent2025,2025-09-05 02:00:00,136,5,141,2,night,Friday,0
03385489281149637_2896622461,#AppleEvent2025,2025-09-28 16:00:00,84,1,85,16,afternoon,Sunday,0
49646607642313840_7887694080,#AppleEvent2025,2025-08-30 04:00:00,474,15,489,4,night,Saturday,1
29610230176007095_5488924891,#AppleEvent2025,2025-09-16 15:00:00,0,3,3,15,afternoon,Tuesday,0
19788990207066486_0047032891,#AppleEvent2025,2025-08-31 13:00:00,137,6,143,13,afternoon,Sunday,0
74517219903346318_6658565534,#AppleEvent2025,2025-07-28 08:00:00,359,13,372,8,morning,Monday,0
03781535464450080_3688903448,#AppleEvent2025,2025-09-29 08:00:00,201,6,207,8,morning,Monday,0
31145544667442119_6572117948,#AppleEvent2025,2025-07-31 14:00:00,0,8,8,14,afternoon,Thursday,0
09510186657264796_6787230529,#AppleEvent2025,2025-09-07 04:00:00,191,7,198,4,night,Sunday,0
42258860518602847_4172566563,#AppleEvent2025,2025-08-01 06:00:00,775,24,799,6,morning,Friday,1
90977359557862742_9122714213,#AppleEvent2025,2025-08-29 04:00:00,63,1,64,4,night,Friday,0
94290960256066124_9145653237,#AppleEvent2025,2025-09-10 21:00:00,638,19,657,21,evening,Wednesday,1
30346947074703479_5378343663,#AppleEvent2025,2025-09-19 06:00:00,334,11,345,6,morning,Friday,0
56779916515911327_5414336687,#AppleEvent2025,2025-09-20 15:00:00,641,10,651,15,afternoon,Saturday,1
34717711220520090_1961294066,#AppleEvent2025,2025-09-21 22:00:00,133,5,138,22,evening,Sunday,0
85176040952163962_2284953323,#AppleEvent2025,2025-09-16 03:00:00,212,4,216,3,night,Tuesday,0
47706595803688122_0692461715,#AppleEvent2025,2025-10-01 12:00:00,50,2,52,12,afternoon,Wednesday,0
85508774105719283_5390827466,#AppleEvent2025,2025-09-26 21:00:00,448,19,467,21,evening,Friday,1
54896988412102666_4988023387,#AppleEvent2025,2025-08-01 00:00:00,148,4,152,0,night,Friday,0
21526358488333563_8168813185,#AppleEvent2025,2025-09-24 06:00:00,1339,31,1370,6,morning,Wednesday,2
30557883383033723_9930593720,#AppleEvent2025,2025-08-22 08:00:00,361,11,372,8,morning,Friday,0
20460419470726413_0273299772,#AppleEvent2025,2025-08-25 12:00:00,63,3,66,12,afternoon,Monday,0
16228822503369543_2234922597,#AppleEvent2025,2025-08-05 21:00:00,0,8,8,21,evening,Tuesday,0
59378422494564303_9828904386,#AppleEvent2025,2025-08-28 17:00:00,385,9,394,17,afternoon,Thursday,1
52858290355280727_7842252827,#AppleEvent2025,2025-08-02 05:00:00,267,11,278,5,night,Saturday,0
06680359197218001_3107699327,#AppleEvent2025,2025-08-18 07:00:00,106,4,110,7,morning,Monday,0
91479513350141387_6559432599,#AppleEvent2025,2025-09-15 03:00:00,172,7,179,3,night,Monday,0
98971694533775770_0919345450,#AppleEvent2025,2025-07-28 11:00:00,608,17,625,11,morning,Monday,1
41848259298032247_5094773425,#AppleEvent2025,2025-08-13 07:00:00,421,11,432,7,morning,Wednesday,1
20858376524179151_7369342200,#AppleEvent2025,2025-09-24 02:00:00,63,4,67,2,night,Wednesday,0
40263831598721121_3323212521,#AppleEvent2025,2025-10-09 02:00:00,116,2,118,2,night,Thursday,0
84320061201259041_4919311168,#AppleEvent2025,2025-09-02 01:00:00,497,17,514,1,night,Tuesday,1
03441737249746668_5692692335,#AppleEvent2025,2025-08-27 01:00:00,991,31,1022,1,night,Wednesday,1
92235681628695818_5246480364,#AppleEvent2025,2025-09-29 06:00:00,382,11,393,6,morning,Monday,1
55943397922013941_6246568924,#AppleEvent2025,2025-07-20 07:00:00,349,6,355,7,morning,Sunday,0
96018914363557148_5738112269,#AppleEvent2025,2025-10-03 15:00:00,606,19,625,15,afternoon,Friday,1
59091068697507587_2122964609,#AppleEvent2025,2025-10-03 17:00:00,694,23,717,17,afternoon,Friday,1
16837810983183952_0931606990,#AppleEvent2025,2025-08-08 04:00:00,86,3,89,4,night,Friday,0
64290212083015990_0327745633,#AppleEvent2025,2025-10-07 13:00:00,198,9,207,13,afternoon,Tuesday,0
57819888600399206_3746061057,#AppleEvent2025,2025-09-27 04:00:00,68,1,69,4,night,Saturday,0
96716513815688753_8181805800,#AppleEvent2025,2025-09-25 11:00:00,75,4,79,11,morning,Thursday,0
96154781876124387_6652922762,#AppleEvent2025,2025-09-13 11:00:00,320,11,331,11,morning,Saturday,0
48005373073148476_0911144680,#AppleEvent2025,2025-10-08 18:00:00,613,16,629,18,evening,Wednesday,1
16110146280610267_8801241278,#AppleEvent2025,2025-09-05 19:00:00,124,4,128,19,evening,Friday,0
34178456820486125_5555591658,#AppleEvent2025,2025-09-30 10:00:00,164,0,164,10,morning,Tuesday,0
68701274310901744_9696443624,#AppleEvent2025,2025-08-20 15:00:00,304,8,312,15,afternoon,Wednesday,0
89609680751580140_7120940710,#AppleEvent2025,2025-08-25 14:00:00,311,7,318,14,afternoon,Monday,0
99058922381944139_7462684910,#AppleEvent2025,2025-10-05 14:00:00,0,39,39,14,afternoon,Sunday,0
99299475829231153_2128817135,#AppleEvent2025,2025-08-28 23:00:00,180,2,182,23,evening,Thursday,0
01237635232058663_2956151342,#AppleEvent2025,2025-08-08 07:00:00,42,1,43,7,morning,Friday,0
16298087786408252_1319798110,#AppleEvent2025,2025-09-19 12:00:00,157,4,161,12,afternoon,Friday,0
03236557046104471_5599317498,#AppleEvent2025,2025-09-25 21:00:00,178,7,185,21,evening,Thursday,0
01868310592768870_4384978291,#AppleEvent2025,2025-09-11 04:00:00,0,4,4,4,night,Thursday,0
71493641673409962_4658273507,#AppleEvent2025,2025-08-06 06:00:00,176,4,180,6,morning,Wednesday,0
40301887795449025_7505663163,#AppleEvent2025,2025-08-22 16:00:00,60,4,64,16,afternoon,Friday,0
84533984470967063_8677450964,#AppleEvent2025,2025-09-29 23:00:00,207,0,207,23,evening,Monday,0
66773532376810329_4481024044,#AppleEvent2025,2025-07-15 01:00:00,551,19,570,1,night,Tuesday,1
85590029966710142_9542462083,#AppleEvent2025,2025-08-13 07:00:00,0,3,3,7,morning,Wednesday,0
55807110821428660_5277168834,#AppleEvent2025,2025-10-01 11:00:00,311,10,321,11,morning,Wednesday,0
13109028560561605_5576025713,#AppleEvent2025,2025-08-25 02:00:00,633,10,643,2,night,Monday,1
63493520690442654_4389657469,#AppleEvent2025,2025-09-26 09:00:00,436,9,445,9,morning,Friday,1
23070518638760369_0305354500,#AppleEvent2025,2025-09-04 13:00:00,45,1,46,13,afternoon,Thursday,0
40386453607740154_5112805261,#AppleEvent2025,2025-09-17 12:00:00,50,2,52,12,afternoon,Wednesday,0
05790770036421995_9431296356,#AppleEvent2025,2025-09-12 21:00:00,88,1,89,21,evening,Friday,0
13875973820537791_0574457723,#AppleEvent2025,2025-10-04 18:00:00,165,8,173,18,evening,Saturday,0
93167169353277354_3644830139,#AppleEvent2025,2025-08-17 10:00:00,17,1,18,10,morning,Sunday,0
42066866339531853_7057631341,#AppleEvent2025,2025-09-30 13:00:00,177,6,183,13,afternoon,Tuesday,0
06853411217311483_6282010851,#AppleEvent2025,2025-09-17 14:00:00,306,7,313,14,afternoon,Wednesday,0
10973227837844099_7203166475,#AppleEvent2025,2025-10-01 07:00:00,135,5,140,7,morning,Wednesday,0
82717894106567901_2155477158,#AppleEvent2025,2025-09-05 21:00:00,60,0,60,21,evening,Friday,0
32229622053091893_3347376836,#AppleEvent2025,2025-08-17 07:00:00,50,4,54,7,morning,Sunday,0
97303574799811367_0441671397,#AppleEvent2025,2025-09-20 05:00:00,303,12,315,5,night,Saturday,0
71494930461250340_2015707951,#AppleEvent2025,2025-08-29 21:00:00,82,2,84,21,evening,Friday,0
14097604723136384_8074345068,#AppleEvent2025,2025-08-26 23:00:00,58,4,62,23,evening,Tuesday,0
48088284037489558_6156130360,#AppleEvent2025,2025-09-11 21:00:00,227,8,235,21,evening,Thursday,0
65008942324485012_2450685884,#AppleEvent2025,2025-08-13 03:00:00,56,4,60,3,night,Wednesday,0
97971389902618594_5628646348,#AppleEvent2025,2025-09-18 20:00:00,181,3,184,20,evening,Thursday,0
50376447402792332_9923942043,#AppleEvent2025,2025-08-03 02:00:00,192,6,198,2,night,Sunday,0
39690447058692560_3429437924,#AppleEvent2025,2025-07-26 17:00:00,371,11,382,17,afternoon,Saturday,0
72171295468591283_9483521984,#AppleEvent2025,2025-09-10 20:00:00,266,10,276,20,evening,Wednesday,0
54254121031749659_8644932988,#AppleEvent2025,2025-10-07 11:00:00,295,8,303,11,morning,Tuesday,0
41556099347966444_5998793513,#AppleEvent2025,2025-07-17 03:00:00,222,6,228,3,night,Thursday,0
73756512380573544_4660333666,#AppleEvent2025,2025-10-01 04:00:00,60,0,60,4,night,Wednesday,0
70541975691079208_9207934737,#AppleEvent2025,2025-08-27 02:00:00,723,31,754,2,night,Wednesday,1
18616545622579566_9910821348,#AppleEvent2025,2025-08-12 15:00:00,128,7,135,15,afternoon,Tuesday,0
33330741084558517_0996257819,#AppleEvent2025,2025-09-27 05:00:00,104,4,108,5,night,Saturday,0
87691425157755793_4250278334,#AppleEvent2025,2025-09-25 17:00:00,31,0,31,17,afternoon,Thursday,0
07303529316886320_2766218995,#AppleEvent2025,2025-10-01 02:00:00,325,6,331,2,night,Wednesday,0
83464024389812998_2548596332,#AppleEvent2025,2025-08-29 08:00:00,72,0,72,8,morning,Friday,0
36397913031147351_7540765868,#AppleEvent2025,2025-09-05 09:00:00,496,12,508,9,morning,Friday,1
21495004390681260_4936952696,#AppleEvent2025,2025-07-15 09:00:00,337,11,348,9,morning,Tuesday,0
91820234333556314_8961435308,#AppleEvent2025,2025-09-08 14:00:00,208,6,214,14,afternoon,Monday,0
24942500897830984_7646272226,#AppleEvent2025,2025-07-27 00:00:00,326,11,337,0,night,Sunday,0
91844371998263093_0987062285,#AppleEvent2025,2025-08-01 04:00:00,62,1,63,4,night,Friday,0
81749977504403338_7697991745,#AppleEvent2025,2025-07-28 08:00:00,369,20,389,8,morning,Monday,1
14210423078073737_9856432764,#AppleEvent2025,2025-09-02 02:00:00,206,11,217,2,night,Tuesday,0
74160589033913717_6914473515,#AppleEvent2025,2025-09-24 03:00:00,135,7,142,3,night,Wednesday,0
87301349468692267_5264276654,#AppleEvent2025,2025-09-23 14:00:00,310,10,320,14,afternoon,Tuesday,0
45582902006236016_4559752904,#AppleEvent2025,2025-08-10 04:00:00,205,0,205,4,night,Sunday,0
81911858476989778_7317333578,#AppleEvent2025,2025-09-08 17:00:00,586,16,602,17,afternoon,Monday,1
77421042704497951_7653186270,#AppleEvent2025,2025-08-30 12:00:00,230,10,240,12,afternoon,Saturday,0
25147519727847960_5459757216,#AppleEvent2025,2025-09-09 10:00:00,41,1,42,10,morning,Tuesday,0
47714933586314151_4730975105,#AppleEvent2025,2025-07-30 22:00:00,338,11,349,22,evening,Wednesday,0
11326663513268564_2939437867,#AppleEvent2025,2025-09-17 10:00:00,254,9,263,10,morning,Wednesday,0
54516152907054562_5188953277,#AppleEvent2025,2025-10-06 15:00:00,609,17,626,15,afternoon,Monday,1
86604417461077646_3956165540,#AppleEvent2025,2025-08-27 03:00:00,272,9,281,3,night,Wednesday,0
74761082862513394_5005809784,#AppleEvent2025,2025-10-01 19:00:00,321,10,331,19,evening,Wednesday,0
57598377411114118_4747389062,#AppleEvent2025,2025-08-23 04:00:00,16,0,16,4,night,Saturday,0
56372263306328944_6118370457,#AppleEvent2025,2025-09-14 20:00:00,58,1,59,20,evening,Sunday,0
41876072854456949_7515319734,#AppleEvent2025,2025-08-08 10:00:00,341,9,350,10,morning,Friday,0
23960935560307888_0487970911,#AppleEvent2025,2025-09-17 19:00:00,387,8,395,19,evening,Wednesday,1
04357014653057127_0814371598,#AppleEvent2025,2025-08-03 14:00:00,659,22,681,14,afternoon,Sunday,1
14879644428872104_0557691192,#AppleEvent2025,2025-09-13 18:00:00,244,8,252,18,evening,Saturday,0
18982606407772303_2922849766,#AppleEvent2025,2025-09-17 01:00:00,257,11,268,1,night,Wednesday,0
30562903245174686_0798433124,#AppleEvent2025,2025-08-23 22:00:00,1511,52,1563,22,evening,Saturday,2
33592802556866969_9530156924,#AppleEvent2025,2025-09-19 18:00:00,211,6,217,18,evening,Friday,0
53281820042254886_8572237129,#AppleEvent2025,2025-08-04 09:00:00,147,4,151,9,morning,Monday,0
69100768358677223_0378790609,#AppleEvent2025,2025-07-26 18:00:00,326,10,336,18,evening,Saturday,0
33875498396186976_9647329069,#AppleEvent2025,2025-07-17 13:00:00,150,6,156,13,afternoon,Thursday,0
67695306050942142_0027178197,#AppleEvent2025,2025-10-07 03:00:00,158,2,160,3,night,Tuesday,0
87605389642894932_0119588854,#AppleEvent2025,2025-08-20 14:00:00,290,15,305,14,afternoon,Wednesday,0
56511643226609896_4721524651,#AppleEvent2025,2025-09-20 10:00:00,619,25,644,10,morning,Saturday,1
19657519997703738_5045237712,#AppleEvent2025,2025-10-04 23:00:00,145,4,149,23,evening,Saturday,0
67984226041600254_5557350788,#AppleEvent2025,2025-08-02 14:00:00,81,1,82,14,afternoon,Saturday,0
50250843780134184_3205626288,#AppleEvent2025,2025-08-06 19:00:00,155,0,155,19,evening,Wednesday,0
92534344457545623_2108708581,#AppleEvent2025,2025-09-23 10:00:00,636,15,651,10,morning,Tuesday,1
41475135221588258_2292809265,#AppleEvent2025,2025-08-29 23:00:00,126,2,128,23,evening,Friday,0
03418703377182570_0115166748,#AppleEvent2025,2025-10-03 08:00:00,68,3,71,8,morning,Friday,0
36408596790090129_9014258532,#AppleEvent2025,2025-10-03 07:00:00,272,5,277,7,morning,Friday,0
90618403578773446_3469862301,#AppleEvent2025,2025-08-30 00:00:00,0,2,2,0,night,Saturday,0
31064831070639961_1985596504,#AppleEvent2025,2025-09-10 11:00:00,82,1,83,11,morning,Wednesday,0
20745734138340329_0470653826,#AppleEvent2025,2025-09-30 12:00:00,96,3,99,12,afternoon,Tuesday,0
72806067255893130_8991679401,#AppleEvent2025,2025-09-05 07:00:00,389,5,394,7,morning,Friday,1
06773906703678291_9938651132,#AppleEvent2025,2025-07-19 05:00:00,126,2,128,5,night,Saturday,0
00635947941311627_8559323665,#AppleEvent2025,2025-09-30 19:00:00,124,3,127,19,evening,Tuesday,0
70556283414682477_2124611126,#AppleEvent2025,2025-09-28 04:00:00,379,0,379,4,night,Sunday,0
70741292059789680_8316231577,#AppleEvent2025,2025-08-03 20:00:00,99,1,100,20,evening,Sunday,0
16271889079655438_1426467210,#AppleEvent2025,2025-09-10 10:00:00,237,3,240,10,morning,Wednesday,0
24651390136015483_6972902061,#AppleEvent2025,2025-07-29 13:00:00,928,29,957,13,afternoon,Tuesday,1
07691486543884367_4381384894,#AppleEvent2025,2025-10-06 04:00:00,150,2,152,4,night,Monday,0
72140761431001930_0506424275,#AppleEvent2025,2025-09-10 16:00:00,1086,30,1116,16,afternoon,Wednesday,1
80668979429737734_1589762499,#AppleEvent2025,2025-09-30 14:00:00,1036,27,1063,14,afternoon,Tuesday,1
34515522403320383_9199879201,#AppleEvent2025,2025-08-07 14:00:00,187,6,193,14,afternoon,Thursday,0
81777430542769863_0580448116,#AppleEvent2025,2025-09-06 06:00:00,248,7,255,6,morning,Saturday,0
74488026941131328_9350164807,#AppleEvent2025,2025-08-31 02:00:00,475,12,487,2,night,Sunday,1
32747941448502902_3896458685,#AppleEvent2025,2025-10-06 00:00:00,91,2,93,0,night,Monday,0
28602898640654524_9528640759,#AppleEvent2025,2025-08-23 12:00:00,36,5,41,12,afternoon,Saturday,0
64406323409382499_5006936925,#AppleEvent2025,2025-09-07 19:00:00,427,15,442,19,evening,Sunday,1
84300580788593085_6379937561,#AppleEvent2025,2025-08-29 02:00:00,488,17,505,2,night,Friday,1
29607287869032102_2646931516,#AppleEvent2025,2025-08-08 09:00:00,179,3,182,9,morning,Friday,0
24454856672805391_1982364264,#AppleEvent2025,2025-08-23 19:00:00,134,2,136,19,evening,Saturday,0
47449582628418545_3804495848,#AppleEvent2025,2025-07-20 06:00:00,452,16,468,6,morning,Sunday,1
62232605958066700_9091456968,#AppleEvent2025,2025-08-26 11:00:00,396,16,412,11,morning,Tuesday,1
96326345082951542_7465439637,#AppleEvent2025,2025-09-29 07:00:00,278,7,285,7,morning,Monday,0
87131390830484960_9552780798,#AppleEvent2025,2025-07-20 12:00:00,14,0,14,12,afternoon,Sunday,0
79478305916578401_3217921402,#AppleEvent2025,2025-08-19 01:00:00,330,3,333,1,night,Tuesday,0
08392595962815952_3133484479,#AppleEvent2025,2025-09-12 13:00:00,399,10,409,13,afternoon,Friday,1
46247719182138740_7125472968,#AppleEvent2025,2025-08-16 13:00:00,62,1,63,13,afternoon,Saturday,0
84625688535940125_7076510366,#AppleEvent2025,2025-09-15 01:00:00,303,10,313,1,night,Monday,0
27528685732774869_5127290993,#AppleEvent2025,2025-09-04 15:00:00,106,2,108,15,afternoon,Thursday,0
51482505927342158_0964416818,#AppleEvent2025,2025-09-24 03:00:00,63,2,65,3,night,Wednesday,0
97999569942847072_0784710861,#AppleEvent2025,2025-09-28 02:00:00,67,4,71,2,night,Sunday,0
19433098730890781_2408360070,#AppleEvent2025,2025-08-20 11:00:00,166,5,171,11,morning,Wednesday,0
